Architecture: alexnet
=> loading checkpoint '/home/annatruzzi/checkpoints/deepcluster_checkpoints/checkpoint_dc_83.pth.tar'
=> loaded checkpoint '/home/annatruzzi/checkpoints/deepcluster_checkpoints/checkpoint_dc_83.pth.tar' (epoch 84)
Load dataset: 11.76 s
Compute features
145 / 5005	Time: 1.054 (32.293)
146 / 5005	Time: 0.307 (32.075)
147 / 5005	Time: 0.047 (31.859)
148 / 5005	Time: 0.043 (31.645)
149 / 5005	Time: 0.538 (31.438)
150 / 5005	Time: 0.039 (31.230)
151 / 5005	Time: 0.044 (31.025)
152 / 5005	Time: 1.027 (30.829)
153 / 5005	Time: 0.050 (30.629)
154 / 5005	Time: 0.053 (30.432)
155 / 5005	Time: 0.043 (30.237)
156 / 5005	Time: 0.046 (30.044)
157 / 5005	Time: 1.070 (29.861)
158 / 5005	Time: 0.051 (29.674)
159 / 5005	Time: 0.049 (29.488)
160 / 5005	Time: 0.042 (29.306)
161 / 5005	Time: 0.952 (29.131)
162 / 5005	Time: 0.048 (28.952)
163 / 5005	Time: 0.039 (28.776)
164 / 5005	Time: 0.757 (28.606)
165 / 5005	Time: 0.048 (28.434)
166 / 5005	Time: 0.043 (28.264)
167 / 5005	Time: 0.040 (28.096)
168 / 5005	Time: 0.045 (27.930)
169 / 5005	Time: 1.041 (27.772)
170 / 5005	Time: 0.127 (27.610)
171 / 5005	Time: 0.059 (27.450)
172 / 5005	Time: 0.041 (27.292)
173 / 5005	Time: 0.704 (27.139)
174 / 5005	Time: 0.046 (26.984)
175 / 5005	Time: 0.040 (26.831)
176 / 5005	Time: 0.706 (26.683)
177 / 5005	Time: 0.038 (26.534)
178 / 5005	Time: 0.065 (26.386)
179 / 5005	Time: 0.071 (26.239)
180 / 5005	Time: 0.066 (26.095)
181 / 5005	Time: 0.939 (25.957)
182 / 5005	Time: 0.242 (25.816)
183 / 5005	Time: 0.051 (25.676)
184 / 5005	Time: 0.057 (25.538)
185 / 5005	Time: 0.993 (25.406)
186 / 5005	Time: 0.044 (25.270)
187 / 5005	Time: 0.039 (25.136)
188 / 5005	Time: 1.890 (25.013)
189 / 5005	Time: 0.042 (24.881)
190 / 5005	Time: 0.042 (24.751)
191 / 5005	Time: 0.040 (24.623)
192 / 5005	Time: 0.052 (24.495)
193 / 5005	Time: 0.040 (24.369)
194 / 5005	Time: 0.047 (24.245)
195 / 5005	Time: 0.040 (24.121)
196 / 5005	Time: 0.065 (23.999)
197 / 5005	Time: 0.625 (23.881)
198 / 5005	Time: 0.044 (23.761)
199 / 5005	Time: 0.047 (23.643)
200 / 5005	Time: 2.263 (23.536)
201 / 5005	Time: 0.039 (23.420)
202 / 5005	Time: 0.043 (23.305)
203 / 5005	Time: 0.054 (23.191)
204 / 5005	Time: 0.052 (23.078)
205 / 5005	Time: 0.051 (22.966)
206 / 5005	Time: 0.069 (22.855)
207 / 5005	Time: 0.046 (22.746)
208 / 5005	Time: 0.052 (22.637)
209 / 5005	Time: 0.696 (22.533)
210 / 5005	Time: 0.039 (22.426)
211 / 5005	Time: 0.040 (22.321)
212 / 5005	Time: 2.065 (22.225)
213 / 5005	Time: 0.040 (22.122)
214 / 5005	Time: 0.056 (22.019)
215 / 5005	Time: 0.049 (21.917)
216 / 5005	Time: 0.048 (21.817)
217 / 5005	Time: 0.060 (21.717)
218 / 5005	Time: 0.053 (21.618)
219 / 5005	Time: 0.041 (21.520)
220 / 5005	Time: 0.050 (21.423)
221 / 5005	Time: 0.257 (21.327)
222 / 5005	Time: 0.050 (21.232)
223 / 5005	Time: 0.060 (21.137)
224 / 5005	Time: 2.350 (21.054)
225 / 5005	Time: 0.040 (20.961)
226 / 5005	Time: 0.053 (20.869)
227 / 5005	Time: 0.052 (20.778)
228 / 5005	Time: 0.036 (20.687)
229 / 5005	Time: 0.041 (20.597)
230 / 5005	Time: 0.051 (20.508)
231 / 5005	Time: 0.042 (20.420)
232 / 5005	Time: 0.045 (20.333)
233 / 5005	Time: 0.046 (20.246)
234 / 5005	Time: 0.044 (20.160)
235 / 5005	Time: 0.044 (20.075)
236 / 5005	Time: 2.371 (20.000)
237 / 5005	Time: 0.056 (19.916)
238 / 5005	Time: 0.052 (19.833)
239 / 5005	Time: 0.053 (19.751)
240 / 5005	Time: 0.048 (19.669)
241 / 5005	Time: 0.043 (19.588)
242 / 5005	Time: 0.043 (19.507)
243 / 5005	Time: 0.041 (19.428)
244 / 5005	Time: 0.058 (19.349)
245 / 5005	Time: 0.116 (19.270)
246 / 5005	Time: 0.046 (19.193)
247 / 5005	Time: 0.052 (19.115)
248 / 5005	Time: 2.509 (19.049)
249 / 5005	Time: 0.063 (18.973)
250 / 5005	Time: 0.055 (18.897)
251 / 5005	Time: 0.057 (18.823)
252 / 5005	Time: 0.052 (18.748)
253 / 5005	Time: 0.063 (18.675)
254 / 5005	Time: 0.079 (18.602)
255 / 5005	Time: 0.061 (18.529)
256 / 5005	Time: 0.070 (18.458)
257 / 5005	Time: 0.078 (18.386)
258 / 5005	Time: 0.070 (18.316)
259 / 5005	Time: 0.054 (18.245)
260 / 5005	Time: 2.494 (18.185)
261 / 5005	Time: 0.059 (18.116)
262 / 5005	Time: 0.046 (18.047)
263 / 5005	Time: 0.043 (17.979)
264 / 5005	Time: 0.046 (17.911)
265 / 5005	Time: 0.083 (17.844)
266 / 5005	Time: 0.049 (17.778)
267 / 5005	Time: 0.039 (17.711)
268 / 5005	Time: 0.044 (17.646)
269 / 5005	Time: 0.618 (17.583)
270 / 5005	Time: 0.055 (17.518)
271 / 5005	Time: 0.052 (17.454)
272 / 5005	Time: 2.637 (17.400)
273 / 5005	Time: 0.043 (17.336)
274 / 5005	Time: 0.054 (17.273)
275 / 5005	Time: 0.045 (17.211)
276 / 5005	Time: 0.046 (17.149)
277 / 5005	Time: 0.077 (17.088)
278 / 5005	Time: 0.064 (17.027)
279 / 5005	Time: 0.052 (16.966)
280 / 5005	Time: 0.040 (16.906)
281 / 5005	Time: 0.039 (16.846)
282 / 5005	Time: 0.037 (16.787)
283 / 5005	Time: 0.047 (16.728)
284 / 5005	Time: 2.600 (16.678)
285 / 5005	Time: 0.045 (16.620)
286 / 5005	Time: 0.042 (16.562)
287 / 5005	Time: 0.036 (16.505)
288 / 5005	Time: 0.040 (16.448)
289 / 5005	Time: 0.038 (16.391)
290 / 5005	Time: 0.036 (16.335)
291 / 5005	Time: 0.044 (16.279)
292 / 5005	Time: 0.042 (16.224)
293 / 5005	Time: 0.038 (16.169)
294 / 5005	Time: 0.044 (16.114)
295 / 5005	Time: 0.043 (16.060)
296 / 5005	Time: 2.545 (16.014)
297 / 5005	Time: 0.038 (15.961)
298 / 5005	Time: 0.055 (15.907)
299 / 5005	Time: 0.039 (15.855)
300 / 5005	Time: 0.038 (15.802)
301 / 5005	Time: 0.038 (15.750)
302 / 5005	Time: 0.041 (15.698)
303 / 5005	Time: 6.860 (15.669)
